mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,eval_sample_id,source_sample_id,mesh_size_mm,method
0.022823834791779518,0.04701872169971466,0.06661141663789749,0.10344019532203674,0.23944108188152313,180,2193,0.028245957713888332,trajectory_bend_Base_TC4_sample_0188.npz,188,15,1.25,pod_oracle
0.0407530851662159,0.06928811967372894,0.09402180463075638,0.13227863609790802,0.23478908836841583,158,2739,0.042701898133106014,trajectory_bend_Base_TC4_sample_0188.npz,188,15,1.25,rom
0.00453675864264369,0.007768772076815367,0.017918627709150314,0.0464131198823452,0.17857034504413605,10,32624,0.0071758059968955,trajectory_bend_Base_TC4_sample_0178.npz,178,128,0.8,roundtrip
0.02452758699655533,0.050152190029621124,0.07519714534282684,0.13214483857154846,0.39158910512924194,180,8832,0.024762454149382097,trajectory_bend_Base_TC4_sample_0178.npz,178,128,0.8,pod_oracle
0.042763080447912216,0.11226288229227066,0.1777724325656891,0.2320549637079239,0.34456220269203186,180,8832,0.046017798544048714,trajectory_bend_Base_TC4_sample_0178.npz,178,128,0.8,rom
0.00475969398394227,0.00751941092312336,0.01758875697851181,0.04461447522044182,0.1803196519613266,6,21686,0.007102346119103125,trajectory_bend_Base_TC4_sample_0128.npz,128,128,1.0,roundtrip
0.026250844821333885,0.04904388636350632,0.0730036273598671,0.12963348627090454,0.34996962547302246,180,5748,0.02486458758293764,trajectory_bend_Base_TC4_sample_0128.npz,128,128,1.0,pod_oracle
0.03446727246046066,0.05740448832511902,0.09647196531295776,0.14643557369709015,0.35232698917388916,180,5748,0.031119779832455043,trajectory_bend_Base_TC4_sample_0128.npz,128,128,1.0,rom
0.005068886559456587,0.00868274550884962,0.019594060257077217,0.04994800686836243,0.19149485230445862,6,13662,0.007652965891206899,trajectory_bend_Base_TC4_sample_0179.npz,179,128,1.25,roundtrip
0.02636306919157505,0.054460443556308746,0.08406475931406021,0.13754881918430328,0.33818724751472473,180,3662,0.026395854629595695,trajectory_bend_Base_TC4_sample_0179.npz,179,128,1.25,pod_oracle
0.047352731227874756,0.0849015936255455,0.1704784482717514,0.23334966599941254,0.34701481461524963,125,8712,0.04778526057718967,trajectory_bend_Base_TC4_sample_0179.npz,179,128,1.25,rom
