source_sample_id,eval_sample_id,mesh_size_mm,frame,world_radius_mm,num_world_edges,world_edges_per_node,world_degree_all_mean,world_degree_all_p05,world_degree_all_p50,world_degree_all_p95,world_degree_all_max,world_degree_tube_mean,world_degree_tube_p05,world_degree_tube_p50,world_degree_tube_p95,world_degree_tube_max,world_len_mm_mean,world_len_mm_p05,world_len_mm_p50,world_len_mm_p95,world_len_mm_max,world_zlen_abs_p95,world_zlen_abs_max,world_z_any_abs_gt3_frac,world_raw_outside_train_range_frac,world_len_outside_train_range_frac
139,175,1.25,90,2.0,102290,5.11296611016695,5.112966060638428,0.0,7.0,14.0,19.0,8.78176498413086,0.0,9.0,15.0,19.0,1.4052058458328247,0.4298099875450134,1.4710365533828735,1.9446686506271362,1.9999796152114868,3.8191611766815186,5.803687572479248,0.22711896896362305,0.9004008173942566,0.6487828493118286
139,175,1.25,135,2.0,91964,4.596820953713886,4.596820831298828,0.0,6.0,13.0,18.0,7.895261287689209,0.0,8.0,15.0,18.0,1.4022741317749023,0.4388170540332794,1.4691085815429688,1.942161202430725,1.9999979734420776,3.8107824325561523,5.792366981506348,0.22445739805698395,0.8809969425201416,0.6591927409172058
139,175,1.25,179,2.0,81324,4.064980505848245,4.064980506896973,0.0,0.0,12.0,19.0,6.981799602508545,0.0,8.0,15.0,19.0,1.400264859199524,0.43564552068710327,1.4798004627227783,1.9439334869384766,1.999966025352478,3.819774627685547,5.7610063552856445,0.23385469615459442,0.913334310054779,0.6777580976486206
15,15,1.0,0,2.0,475278,9.17968131337518,9.179680824279785,0.0,10.0,22.0,29.0,15.396112442016602,8.0,15.0,23.0,29.0,1.4494037628173828,0.6242921948432922,1.5173648595809937,1.9586310386657715,1.9999955892562866,3.7329702377319336,5.813494682312012,0.24538899958133698,0.8520612716674805,0.6784534454345703
15,15,1.0,45,2.0,450532,8.701728633510381,8.701728820800781,0.0,10.0,22.0,29.0,14.817233085632324,7.0,15.0,23.0,29.0,1.444929838180542,0.5974879264831543,1.5096670389175415,1.9644310474395752,1.9999985694885254,3.766735553741455,5.812010288238525,0.266289621591568,0.8430966138839722,0.6785222887992859
15,15,1.0,90,2.0,410584,7.930159343312409,7.930159091949463,0.0,9.0,21.0,28.0,13.68130874633789,2.0,14.0,23.0,28.0,1.438389539718628,0.5846115946769714,1.5084781646728516,1.9644043445587158,1.999999761581421,3.7647087574005127,5.773012638092041,0.26528555154800415,0.8539056777954102,0.6872552037239075
15,15,1.0,135,2.0,367032,7.088981168517624,7.0889811515808105,0.0,9.0,20.0,29.0,12.425849914550781,2.0,13.0,23.0,29.0,1.438218593597412,0.582758903503418,1.5000697374343872,1.968399167060852,2.0,3.777587413787842,5.788209438323975,0.2826293110847473,0.8433814644813538,0.6778755187988281
15,15,1.0,179,2.0,327672,6.328768710767745,6.328768730163574,0.0,2.0,17.0,27.0,11.309685707092285,2.0,13.0,22.0,27.0,1.4438058137893677,0.5827283263206482,1.5289236307144165,1.968640923500061,1.9999898672103882,3.774578094482422,5.75327730178833,0.2902292311191559,0.8685148358345032,0.7114858627319336
15,187,0.8,0,2.0,1481380,18.384194393080083,18.38419532775879,0.0,17.0,46.0,56.0,35.99651336669922,24.0,33.0,47.0,56.0,1.5056676864624023,0.7973560690879822,1.596946358680725,1.9347537755966187,1.9999901056289673,3.656186580657959,5.82286262512207,0.16849154233932495,0.8826391696929932,0.7799457311630249
15,187,0.8,45,2.0,1399914,17.373186562255675,17.373186111450195,0.0,17.0,45.0,52.0,34.345802307128906,20.0,33.0,47.0,52.0,1.4981505870819092,0.7923181653022766,1.5973107814788818,1.9386696815490723,1.9999994039535522,3.6762869358062744,5.816826343536377,0.17222343385219574,0.8969093561172485,0.7850139141082764
15,187,0.8,90,2.0,1294280,16.06224946946475,16.0622501373291,0.0,16.0,45.0,52.0,32.20538330078125,12.0,33.0,47.0,52.0,1.494726300239563,0.7741578817367554,1.5993752479553223,1.933774471282959,1.9999959468841553,3.657057285308838,5.816917896270752,0.17279568314552307,0.8901041746139526,0.7896575927734375
15,187,0.8,135,2.0,1178998,14.631578947368421,14.631579399108887,0.0,15.0,44.0,54.0,29.869468688964844,12.0,33.0,47.0,54.0,1.4974300861358643,0.7760616540908813,1.6107468605041504,1.932169795036316,1.9999948740005493,3.638995409011841,5.813329219818115,0.1661478728055954,0.8957284092903137,0.7982388734817505
